learning_rate,dropout_fc_rate,run_name,valid_acc
0.0005,0.3,improved_grid_trial_6,81.85185185185185
0.0007,0.4,improved_grid_trial_5,77.03703703703704
0.001,0.35,improved_grid_trial_1,76.29629629629629
0.0007,0.3,improved_grid_trial_3,76.29629629629629
0.001,0.4,improved_grid_trial_2,72.22222222222223
0.0007,0.35,improved_grid_trial_4,69.25925925925925
0.0005,0.4,improved_grid_trial_8,68.14814814814815
0.001,0.3,improved_grid_trial_0,66.66666666666667
0.0005,0.35,improved_grid_trial_7,65.55555555555556
