learning_rate,weight_decay,optimizer,dropout_fc_rate,run_name,valid_acc
0.001,0.0,Adam,0.4,grid_trial_0,85.18518518518519
0.001,0.0001,Adam,0.4,grid_trial_4,85.18518518518519
0.0003,0.0001,Adam,0.5,grid_trial_13,84.81481481481481
0.001,0.0,Adam,0.5,grid_trial_1,84.44444444444444
0.0003,0.0,Adam,0.5,grid_trial_9,84.07407407407408
0.0003,0.0,Adam,0.4,grid_trial_8,82.96296296296296
0.0003,0.0001,Adam,0.4,grid_trial_12,82.96296296296296
0.001,0.0001,Adam,0.5,grid_trial_5,81.85185185185185
0.001,0.0001,SGD,0.5,grid_trial_7,76.29629629629629
0.001,0.0,SGD,0.4,grid_trial_2,75.18518518518519
0.001,0.0001,SGD,0.4,grid_trial_6,75.18518518518519
0.001,0.0,SGD,0.5,grid_trial_3,70.0
0.0003,0.0,SGD,0.5,grid_trial_11,63.7037037037037
0.0003,0.0001,SGD,0.5,grid_trial_15,36.666666666666664
0.0003,0.0,SGD,0.4,grid_trial_10,34.074074074074076
0.0003,0.0001,SGD,0.4,grid_trial_14,34.074074074074076
